token,symbol,ltp,level,taps
257545,NIFTY CONSUMPTION,11600.9,11695.4,9
263177,NIFTY SERV SECTOR,33150.5,32351.45,9
257545,NIFTY CONSUMPTION,11600.9,11320.85,9
257545,NIFTY CONSUMPTION,11600.9,11409.45,9
256265,NIFTY 50,24672.8,23893.7,9
262409,NIFTY PHARMA,22114.95,22894.55,9
257289,NIFTY COMMODITIES,8703.25,8503.05,9
262409,NIFTY PHARMA,22114.95,22216.95,9
257289,NIFTY COMMODITIES,8703.25,8970.2,9
264457,NIFTY 200,13985.1,13508.0,9
261641,NIFTY ENERGY,37062.4,37376.2,9
256777,NIFTY MIDCAP 100,58815.75,58352.1,9
256265,NIFTY 50,24672.8,25212.05,9
257289,NIFTY COMMODITIES,8703.25,8624.2,9
262409,NIFTY PHARMA,22114.95,22145.05,9
264457,NIFTY 200,13985.1,13925.6,8
260105,NIFTY BANK,53281.45,53357.7,8
260105,NIFTY BANK,53281.45,53180.75,8
262409,NIFTY PHARMA,22114.95,22661.0,8
257289,NIFTY COMMODITIES,8703.25,8500.6,8
257289,NIFTY COMMODITIES,8703.25,8452.1,8
261129,NIFTY REALTY,1077.5,1088.35,8
264457,NIFTY 200,13985.1,13921.65,8
256777,NIFTY MIDCAP 100,58815.75,57791.2,8
260617,NIFTY 100,25629.6,26394.15,8
256777,NIFTY MIDCAP 100,58815.75,60408.25,8
264457,NIFTY 200,13985.1,13499.3,8
264457,NIFTY 200,13985.1,13477.0,8
262409,NIFTY PHARMA,22114.95,22005.1,8
256265,NIFTY 50,24672.8,25234.05,8
256265,NIFTY 50,24672.8,23873.35,8
260617,NIFTY 100,25629.6,26331.2,8
260617,NIFTY 100,25629.6,24895.55,8
262665,NIFTY PSE,10250.75,10045.05,8
257545,NIFTY CONSUMPTION,11600.9,11832.85,8
264457,NIFTY 200,13985.1,14329.95,7
256265,NIFTY 50,24672.8,25285.55,7
257801,NIFTY FIN SERVICE,24740.9,24378.05,7
261897,NIFTY FMCG,56594.55,58788.85,7
261129,NIFTY REALTY,1077.5,1079.35,7
262153,NIFTY MNC,29378.3,29541.0,7
261897,NIFTY FMCG,56594.55,58266.05,7
257289,NIFTY COMMODITIES,8703.25,8498.5,7
262665,NIFTY PSE,10250.75,10431.25,6
262665,NIFTY PSE,10250.75,10015.25,6
262665,NIFTY PSE,10250.75,9866.55,6
262153,NIFTY MNC,29378.3,29565.2,6
261129,NIFTY REALTY,1077.5,1066.6,6
262409,NIFTY PHARMA,22114.95,21649.5,6
262153,NIFTY MNC,29378.3,28789.8,6
262409,NIFTY PHARMA,22114.95,21501.8,6
262153,NIFTY MNC,29378.3,28880.65,6
262153,NIFTY MNC,29378.3,29573.0,6
261897,NIFTY FMCG,56594.55,58832.65,6
260617,NIFTY 100,25629.6,24763.6,6
260617,NIFTY 100,25629.6,24791.6,6
257545,NIFTY CONSUMPTION,11600.9,11963.95,6
256265,NIFTY 50,24672.8,23816.15,6
