"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"55","Hindustan Unilever Limited","HINDUNILVR","P&F | F.A","-1.19%","2461.5","16,24,212"
"51","Godrej Properties Limited","GODREJPROP","P&F | F.A","-1.25%","2645.1","5,42,852"
"151","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","P&F | F.A","-1.25%","321","33,52,772"
"74","Kotak Mahindra Bank Limited","KOTAKBANK","P&F | F.A","-1.3%","1721.4","32,28,390"
"149","Petronet Lng Limited","PETRONET","P&F | F.A","-1.3%","322.7","17,06,554"
"101","Piramal Enterprises Limited","PEL","P&F | F.A","-1.34%","1023.15","4,47,763"
"176","Punjab National Bank","PNB","P&F | F.A","-1.34%","103.73","2,60,13,713"
"69","Muthoot Finance Limited","MUTHOOTFIN","P&F | F.A","-1.35%","1792.7","3,00,260"
"170","Rbl Bank Limited","RBLBANK","P&F | F.A","-1.36%","159.68","50,07,173"
"2","BANKNIFTY","BANKNIFTY","P&F | F.A","-1.39%","51157.8","0"
"147","Hindustan Petroleum Corporation Limited","HINDPETRO","P&F | F.A","-1.42%","375.55","65,89,595"
"121","Lic Housing Finance Limited","LICHSGFIN","P&F | F.A","-1.44%","616.95","21,55,005"
"155","Hindustan Copper Limited","HINDCOPPER","P&F | F.A","-1.44%","269.45","47,51,726"
"162","Ashok Leyland Limited","ASHOKLEY","P&F | F.A","-1.44%","221.12","84,42,058"
"50","Balkrishna Industries Limited","BALKRISIND","P&F | F.A","-1.45%","2742.25","96,922"
"153","Aditya Birla Fashion And Retail Limited","ABFRL","P&F | F.A","-1.46%","293.85","16,67,511"
"167","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","-1.46%","172.59","55,26,480"
"175","Steel Authority Of India Limited","SAIL","P&F | F.A","-1.48%","114.17","1,44,76,729"
"64","ICICI Lombard General Insurance Company Ltd","ICICIGI","P&F | F.A","-1.5%","1892.25","8,59,956"
"77","Bajaj Finserv Limited","BAJAJFINSV","P&F | F.A","-1.5%","1691.75","9,03,333"
"24","Divi's Laboratories Limited","DIVISLAB","P&F | F.A","-1.51%","5810.7","4,33,122"
"65","United Breweries Limited","UBL","P&F | F.A","-1.54%","1882.45","2,85,402"
"156","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","-1.56%","265.4","15,70,944"
"63","Oberoi Realty Limited","OBEROIRLTY","P&F | F.A","-1.58%","1981","13,72,529"
"178","Gmr Infrastructure Limited","GMRINFRA","P&F | F.A","-1.6%","78.22","68,72,819"
"90","Adani Ports And Special Economic Zone Limited","ADANIPORTS","P&F | F.A","-1.62%","1326","10,36,296"
"113","Dlf Limited","DLF","P&F | F.A","-1.63%","764.85","22,58,442"
"14","Info Edge (india) Limited","NAUKRI","P&F | F.A","-1.64%","7821.3","1,62,883"
"93","Aurobindo Pharma Limited","AUROPHARMA","P&F | F.A","-1.68%","1267.4","10,07,201"
"38","Escorts Limited","ESCORTS","P&F | F.A","-1.7%","3559.45","1,58,611"
"1","Mrf Limited","MRF","P&F | F.A","-1.72%","120924.15","8,804"
"127","Granules India Limited","GRANULES","P&F | F.A","-1.77%","562.15","13,99,941"
"84","Cipla Limited","CIPLA","P&F | F.A","-1.78%","1525.15","27,82,808"
"144","Coal India Limited","COALINDIA","P&F | F.A","-1.78%","414.05","65,64,348"
"60","Srf Limited","SRF","P&F | F.A","-1.79%","2253.05","2,22,473"
"95","Cholamandalam Investment And Finance Company Limited","CHOLAFIN","P&F | F.A","-1.81%","1239.75","10,06,239"
